"Feature Name"|"ID"|"Class"|"County"|"State"|"Latitude"|"Longitude"|"Ele(ft*)"|"Map**"|"BGN Date"|"Entry Date"|
"Cascabel School"|"27320"|"School"|"Cochise"|"AZ"|"321807N"|"1102308W"|"3127"|"Soza Canyon"|""|"08-FEB-1980"
"Center For Academic Success"|"2544854"|"School"|"Cochise"|"AZ"|"313307N"|"1101733W"|"4603"|"Fort Huachuca"|""|"20-APR-2009"
"Center For Academic Success"|"2544932"|"School"|"Cochise"|"AZ"|"312022N"|"1093317W"|"3970"|"Douglas"|""|"20-APR-2009"
"Central School"|"2700"|"School"|"Cochise"|"AZ"|"312635N"|"1095452W"|"5331"|"Bisbee"|""|"08-FEB-1980"
"Clawson School"|"21990"|"School"|"Cochise"|"AZ"|"312027N"|"1093235W"|"4012"|"Douglas"|""|"27-JUN-1984"
"Cochise College Benson Center"|"2544842"|"School"|"Cochise"|"AZ"|"315710N"|"1102025W"|"4104"|"Benson"|""|"20-APR-2009"
"Cochise College Sierra Vista Campus"|"1934395"|"School"|"Cochise"|"AZ"|"313350N"|"1101450W"|"4409"|"Lewis Springs"|""|"27-JUN-1984"
"Cochise College Willcox Center"|"2545073"|"School"|"Cochise"|"AZ"|"321528N"|"1095036W"|"4173"|"Willcox North"|""|"20-APR-2009"
"Cochise County Junior College"|"21998"|"School"|"Cochise"|"AZ"|"312158N"|"1094125W"|"4131"|"Paul Spur"|""|"27-JUN-1984"
"Cochise Elementary School"|"21999"|"School"|"Cochise"|"AZ"|"320646N"|"1095513W"|"4219"|"Cochise"|""|"27-JUN-1984"
"Colonel Johnston Elementary School"|"2544851"|"School"|"Cochise"|"AZ"|"313300N"|"1102042W"|"4872"|"Fort Huachuca"|""|"20-APR-2009"
"Coronado Elementary School"|"2543733"|"School"|"Cochise"|"AZ"|"312832N"|"1101145W"|"4406"|"Nicksville"|""|"20-APR-2009"
"Cottonwood Creek School"|"3344"|"School"|"Cochise"|"AZ"|"312700N"|"1090742W"|"4442"|"Million Dollar Tank"|""|"08-FEB-1980"
"Don Luis School"|"4020"|"School"|"Cochise"|"AZ"|"312331N"|"1095509W"|"4924"|"Bisbee"|""|"08-FEB-1980"
"Double Adobe Elementary School"|"2544921"|"School"|"Cochise"|"AZ"|"312803N"|"1094150W"|"4006"|"Double Adobe"|""|"20-APR-2009"
"Douglas High School"|"22026"|"School"|"Cochise"|"AZ"|"312101N"|"1093216W"|"4039"|"Douglas"|""|"27-JUN-1984"
"El Dorado School"|"4379"|"School"|"Cochise"|"AZ"|"320022N"|"1092418W"|"5069"|"Bowie Mountain South"|""|"08-FEB-1980"
"Elfrida Elementary School"|"22038"|"School"|"Cochise"|"AZ"|"314110N"|"1094049W"|"4153"|"Elfrida"|""|"27-JUN-1984"
"Fifteenth Street School"|"22047"|"School"|"Cochise"|"AZ"|"312057N"|"1093257W"|"4003"|"Douglas"|""|"27-JUN-1984"
"First Baptist Christian Academy"|"2544798"|"School"|"Cochise"|"AZ"|"313221N"|"1101734W"|"4652"|"Fort Huachuca"|""|"20-APR-2009"
"Full Gospel Assembly School"|"2544931"|"School"|"Cochise"|"AZ"|"315828N"|"1101747W"|"3560"|"Benson"|""|"20-APR-2009"
"General Myers School"|"4974"|"School"|"Cochise"|"AZ"|"313304N"|"1102105W"|"4924"|"Fort Huachuca"|""|"08-FEB-1980"
"Grace Christian Academy"|"2544960"|"School"|"Cochise"|"AZ"|"315707N"|"1101721W"|"3632"|"Benson"|""|"20-APR-2009"
"Greenway School"|"5372"|"School"|"Cochise"|"AZ"|"312502N"|"1095251W"|"5007"|"Bisbee"|""|"08-FEB-1980"
"Horace Mann School"|"5936"|"School"|"Cochise"|"AZ"|"312632N"|"1095513W"|"5443"|"Bisbee"|""|"08-FEB-1980"
"Huachuca City School"|"22083"|"School"|"Cochise"|"AZ"|"313755N"|"1101958W"|"4380"|"Huachuca City"|""|"27-JUN-1984"
"Huachuca Mountain Elementary School"|"2544812"|"School"|"Cochise"|"AZ"|"313037N"|"1101601W"|"4629"|"Fort Huachuca"|""|"20-APR-2009"
"Huachuca Terrace School"|"22085"|"School"|"Cochise"|"AZ"|"312337N"|"1095533W"|"4941"|"Bisbee"|""|"27-JUN-1984"
"Joe Carlson School"|"22095"|"School"|"Cochise"|"AZ"|"312109N"|"1093210W"|"4045"|"Douglas"|""|"27-JUN-1984"
"John L Wyatt Junior High School"|"22097"|"School"|"Cochise"|"AZ"|"314241N"|"1100343W"|"4570"|"Tombstone"|""|"27-JUN-1984"
"Joyce Clark Middle School"|"2544828"|"School"|"Cochise"|"AZ"|"313236N"|"1101703W"|"4610"|"Fort Huachuca"|""|"20-APR-2009"
"Lincoln School"|"7031"|"School"|"Cochise"|"AZ"|"312646N"|"1095541W"|"5515"|"Bisbee"|""|"08-FEB-1980"
"Loretto Catholic School"|"2544810"|"School"|"Cochise"|"AZ"|"312056N"|"1093235W"|"4016"|"Douglas"|""|"20-APR-2009"
"Lowell School"|"22127"|"School"|"Cochise"|"AZ"|"312545N"|"1095329W"|"5043"|"Bisbee"|""|"27-JUN-1984"
"Maryvale School"|"2544890"|"School"|"Cochise"|"AZ"|"312046N"|"1093128W"|"4085"|"Douglas"|""|"20-APR-2009"
"McNeal Elementary School"|"2544827"|"School"|"Cochise"|"AZ"|"313557N"|"1094022W"|"4160"|"McNeal"|""|"20-APR-2009"
"Miracle Valley Bible College and Seminary"|"2544821"|"School"|"Cochise"|"AZ"|"312236N"|"1100918W"|"4363"|"Nicksville"|""|"20-APR-2009"
"Mountain View Christian School"|"2544961"|"School"|"Cochise"|"AZ"|"312206N"|"1093128W"|"4075"|"Douglas"|""|"20-APR-2009"
"Naco Elementary School"|"2544778"|"School"|"Cochise"|"AZ"|"312010N"|"1095648W"|"4603"|"Naco"|""|"20-APR-2009"
"New West School"|"2544777"|"School"|"Cochise"|"AZ"|"315755N"|"1102557W"|"4190"|"Mescal"|""|"20-APR-2009"
"Old Bisbee High School"|"22158"|"School"|"Cochise"|"AZ"|"312634N"|"1095501W"|"5397"|"Bisbee"|""|"27-JUN-1984"
"Omega Alpha Academy"|"2544797"|"School"|"Cochise"|"AZ"|"312055N"|"1093203W"|"4049"|"Douglas"|""|"20-APR-2009"
"Our Lady of the Mountains School"|"2544819"|"School"|"Cochise"|"AZ"|"312857N"|"1101701W"|"4836"|"Miller Peak"|""|"20-APR-2009"
"Palominas Elementary School"|"22163"|"School"|"Cochise"|"AZ"|"312251N"|"1100727W"|"4252"|"Hereford"|""|"27-JUN-1984"
"Pearce Elementary School"|"22169"|"School"|"Cochise"|"AZ"|"315406N"|"1094925W"|"4413"|"Pearce"|""|"27-JUN-1984"
"Pirtleville School"|"22173"|"School"|"Cochise"|"AZ"|"312139N"|"1093409W"|"3966"|"Douglas"|""|"27-JUN-1984"
"Pomerene Elementary School"|"22177"|"School"|"Cochise"|"AZ"|"315955N"|"1101711W"|"3540"|"Benson"|""|"27-JUN-1984"
"Portal Elementary School"|"22178"|"School"|"Cochise"|"AZ"|"315443N"|"1090833W"|"4764"|"Portal"|""|"27-JUN-1984"
"Ppep Tec High School Colin L Powell Learning Center"|"2544933"|"School"|"Cochise"|"AZ"|"313157N"|"1101521W"|"4528"|"Fort Huachuca"|""|"20-APR-2009"
"Ppep Tec High School Eugene Lopez Learning Center"|"2544774"|"School"|"Cochise"|"AZ"|"321512N"|"1094959W"|"4170"|"Willcox North"|""|"20-APR-2009"
"Ppep Tec High School Manuel Borjorquez Learning Center"|"2544786"|"School"|"Cochise"|"AZ"|"312521N"|"1095315W"|"5039"|"Bisbee"|""|"20-APR-2009"
"Ppep Tec High School Raul H Castro Learning Center"|"2543735"|"School"|"Cochise"|"AZ"|"312048N"|"1093314W"|"3983"|"Douglas"|""|"20-APR-2009"
"Pueblo del Sol Elementary School"|"2544952"|"School"|"Cochise"|"AZ"|"313240N"|"1101440W"|"4455"|"Lewis Springs"|""|"20-APR-2009"
"Rucker School"|"10583"|"School"|"Cochise"|"AZ"|"314437N"|"1092850W"|"4993"|"Bruno Peak"|""|"08-FEB-1980"
"Saint David Elementary School"|"22209"|"School"|"Cochise"|"AZ"|"315422N"|"1101313W"|"3674"|"Saint David"|""|"27-JUN-1984"
"Saint David High School"|"22210"|"School"|"Cochise"|"AZ"|"315421N"|"1101310W"|"3678"|"Saint David"|""|"27-JUN-1984"
"Saint Patrick School"|"10724"|"School"|"Cochise"|"AZ"|"312635N"|"1095518W"|"5440"|"Bisbee"|""|"08-FEB-1980"
"San Pedro Valley High School"|"2544840"|"School"|"Cochise"|"AZ"|"315757N"|"1101756W"|"3615"|"Benson"|""|"20-APR-2009"
"San Simon Elementary School"|"22214"|"School"|"Cochise"|"AZ"|"321600N"|"1091324W"|"3629"|"San Simon"|""|"27-JUN-1984"
"San Simon High School"|"22215"|"School"|"Cochise"|"AZ"|"321559N"|"1091324W"|"3629"|"San Simon"|""|"27-JUN-1984"
"Sarah Marley School"|"22218"|"School"|"Cochise"|"AZ"|"312027N"|"1093301W"|"3986"|"Douglas"|""|"27-JUN-1984"
"Shiloh Christian School"|"2544811"|"School"|"Cochise"|"AZ"|"313323N"|"1101803W"|"4619"|"Fort Huachuca"|""|"20-APR-2009"
"Sierra Summit Academy"|"2544820"|"School"|"Cochise"|"AZ"|"312756N"|"1101513W"|"4731"|"Miller Peak"|""|"20-APR-2009"
"Sierra Vista Junior High School"|"22228"|"School"|"Cochise"|"AZ"|"313321N"|"1101552W"|"4501"|"Fort Huachuca"|""|"27-JUN-1984"
"Smith Elementary School"|"44798"|"School"|"Cochise"|"AZ"|"313310N"|"1102006W"|"4780"|"Fort Huachuca"|""|"27-JUN-1984"
"Stevenson School"|"22243"|"School"|"Cochise"|"AZ"|"312046N"|"1093135W"|"4078"|"Douglas"|""|"27-JUN-1984"
"Sulphur Spring School"|"11942"|"School"|"Cochise"|"AZ"|"320305N"|"1094647W"|"4203"|"Sulphur Spring"|""|"08-FEB-1980"
"Tombstone High School"|"2544850"|"School"|"Cochise"|"AZ"|"314340N"|"1100413W"|"4400"|"Tombstone"|""|"20-APR-2009"
"Town and Country Elementary School"|"2544833"|"School"|"Cochise"|"AZ"|"313228N"|"1101701W"|"4610"|"Fort Huachuca"|""|"20-APR-2009"
"Twelfth Street Junior High School"|"22266"|"School"|"Cochise"|"AZ"|"312050N"|"1093257W"|"3999"|"Douglas"|""|"27-JUN-1984"
"Union High School"|"22267"|"School"|"Cochise"|"AZ"|"314243N"|"1100351W"|"4557"|"Tombstone"|""|"27-JUN-1984"
"University of Arizona South"|"1934397"|"School"|"Cochise"|"AZ"|"313401N"|"1101444W"|"4406"|"Lewis Springs"|""|"27-JUN-1984"
"Valley Union High School"|"13177"|"School"|"Cochise"|"AZ"|"314109N"|"1094054W"|"4153"|"Elfrida"|""|"08-FEB-1980"
"Valley View Elementary School"|"2544948"|"School"|"Cochise"|"AZ"|"312252N"|"1101221W"|"4721"|"Nicksville"|""|"20-APR-2009"
